ObjectID,TimeIndex,Direction,Node,Type
804,0,EW,SS,NK
804,0,NS,SS,NK
804,1392,EW,AD,NK
804,1398,EW,IK,CK
804,1404,NS,IK,EK
804,2101,EW,ID,NK
804,2101,NS,ID,NK
804,2171,ES,ES,ES
454,0,EW,SS,NK
454,0,NS,SS,NK
454,298,EW,AD,NK
454,463,EW,AD,NK
454,484,EW,AD,NK
454,491,EW,IK,EK
454,2171,ES,ES,ES
664,0,EW,SS,NK
664,0,NS,SS,NK
664,407,EW,AD,NK
664,413,EW,IK,EK
664,1225,EW,ID,NK
664,2171,ES,ES,ES
65,0,EW,SS,CK
65,0,NS,SS,CK
65,2207,ES,ES,ES
634,0,EW,SS,NK
634,0,NS,SS,NK
634,695,EW,AD,NK
634,702,EW,IK,CK
634,710,NS,IK,EK
634,1381,EW,ID,NK
634,1381,NS,ID,NK
634,2171,ES,ES,ES
782,0,EW,SS,NK
782,0,NS,SS,NK
782,186,EW,AD,NK
782,192,EW,IK,HK
782,200,NS,IK,HK
782,2171,ES,ES,ES
1108,0,EW,SS,NK
1108,0,NS,SS,NK
1108,1442,EW,AD,NK
1108,1512,EW,IK,CK
1108,1981,EW,ID,NK
1108,2171,ES,ES,ES
1011,0,EW,SS,NK
1011,0,NS,SS,NK
1011,813,EW,AD,NK
1011,840,EW,IK,CK
1011,920,NS,IK,CK
1011,1591,NS,ID,NK
1011,2171,ES,ES,ES
3,0,EW,SS,CK
3,0,NS,SS,CK
3,2171,ES,ES,ES
1057,0,EW,SS,NK
1057,0,NS,SS,NK
1057,182,EW,AD,NK
1057,188,EW,IK,CK
1057,194,NS,IK,CK
1057,949,NS,ID,NK
1057,2171,ES,ES,ES
1358,0,EW,SS,NK
1358,0,NS,SS,NK
1358,172,EW,AD,NK
1358,179,EW,IK,CK
1358,192,NS,IK,CK
1358,1653,NS,ID,NK
1358,2041,EW,ID,NK
1358,2171,ES,ES,ES
747,0,EW,SS,NK
747,0,NS,SS,NK
747,932,EW,AD,NK
747,938,EW,IK,EK
747,976,NS,IK,EK
747,2171,ES,ES,ES
179,0,EW,SS,CK
179,0,NS,SS,CK
179,1837,EW,ID,NK
179,1837,NS,ID,NK
179,1888,EW,AD,NK
179,2171,ES,ES,ES
1180,0,EW,SS,CK
1180,0,NS,SS,CK
1180,2171,ES,ES,ES
1890,0,EW,SS,EK
1890,0,NS,SS,CK
